"Klucz","KluczOpakZewn","KodKreskowy","OpisOpakowania","StatusOpak","IdRodzOpak","NrWersji","IdSesji","NrZlecenia","DataBrakowania","OstatniePrzyj","OstatnieWyd","IdGrupyDokKl","RokDokumentu"
"20588","5588","000000020588","\N","10","23","4","3817","","2027-12-31 00:00:00","\N","\N","132","2007"
"22419","5793","000000022419","\N","10","23","4","3758","","2034-12-31 00:00:00","\N","\N","160","2014"
"20591","5622","000000020591","\N","10","23","4","3817","","2028-12-31 00:00:00","\N","\N","132","2008"
"18663","4959","000000018663","\N","0","\N","3","\N","","\N","\N","\N","\N","\N"
"20592","5621","000000020592","\N","10","23","4","3817","","2028-12-31 00:00:00","\N","\N","132","2008"
"22422","5764","000000022422","\N","10","23","4","3758","","2034-12-31 00:00:00","\N","\N","160","2014"
"20598","5585","000000020598","\N","10","23","4","3817","","2028-12-31 00:00:00","\N","\N","132","2008"
"24338","\N","000000024338","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"20593","5613","000000020593","\N","10","23","4","3817","","2028-12-31 00:00:00","\N","\N","132","2008"
"22423","5733","000000022423","\N","10","23","4","3758","","2034-12-31 00:00:00","\N","\N","160","2014"
"20595","5616","000000020595","\N","10","23","4","3817","","2028-12-31 00:00:00","\N","\N","132","2008"
"18664","5397","000000018664","\N","0","\N","3","\N","","\N","\N","\N","\N","\N"
"20596","5586","000000020596","\N","10","23","4","3817","","2028-12-31 00:00:00","\N","\N","132","2008"
"22424","5734","000000022424","\N","10","23","4","3758","","2034-12-31 00:00:00","\N","\N","160","2014"
"24339","\N","000000024339","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22455","5799","000000022455","\N","10","23","4","3758","","2034-12-31 00:00:00","\N","\N","160","2014"
"20584","5588","000000020584","\N","10","23","5","3817","","2028-12-31 00:00:00","\N","\N","132","2008"
"18665","5500","000000018665","\N","0","\N","3","\N","","\N","\N","\N","\N","\N"
"24340","\N","000000024340","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"18666","5333","000000018666","\N","0","\N","3","\N","","\N","\N","\N","\N","\N"
"24341","\N","000000024341","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24342","\N","000000024342","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25312","\N","000000025312","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
